country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Iraq,IQ,Baghdad,2016-06-04,,Protests,Social media,https://www.middleeastmonitor.com/20160604-baghdad-shuts-down-social-media/,Access Now
Iraq,IQ,Northern Iraq including Irbil,2018-07-14,2018-07-16,Protests,"Facebook, Multiple shutdowns in population centers, Facebook and Twitter blocked",https://netblocks.org/reports/study-shows-extent-of-iraq-internet-shutdown-and-social-media-restrictions-during-protests-zPyXjzAE,"Access Now, NetBlocks"
Iraq,IQ,National except Kurdish region,2019-10-02,2019-11-21,"Protests, protests","Facebook, Twitter, WhatsApp, Instagram, Telegram, Facebook, Twitter, WhatsApp, Instagram and other social and messaging apps","https://pulse.internetsociety.org/shutdowns/shutdown-180, https://www.theguardian.com/world/2019/oct/02/at-least-seven-killed-as-iraqi-security-forces-fire-on-protesters,https://www.accessnow.org/amid-massive-anti-government-protests-a-near-total-internet-shutdown-in-iraq/","Pulse, Access Now, NetBlocks"
Iraq,IQ,National except Kurdish areas,2019-10-25,2019-10-26,"Protests, protests","Facebook, Twitter, WhatsApp, Instagram","https://pulse.internetsociety.org/shutdowns/shutdown-189, https://www.alarabiya.net/ar/arab-and-world/iraq/2019/11/12/%D8%AD%D8%AC%D8%A8-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%AE%D8%B1%D9%82-%D9%84%D9%84%D9%82%D9%88%D8%A7%D9%86%D9%8A%D9%86-%D9%88%D8%AE%D8%B3%D8%A7%D8%A6%D8%B1-%D8%A8%D8%A7%D9%87%D8%B8%D8%A9","Pulse, Access Now"
Iraq,IQ,Sulaymaniyah,2020-12-08,2020-12-08,Protests,,https://www.dw.com/en/do-the-violent-protests-in-northern-iraq-signal-a-kurdish-spring/a-55906950,Access Now
Iraq,IQ,"Nationwide, National",2023-02-05,2023-02-13,"Exam cheating, exams","Facebook, Twitter, WhatsApp, Instagram, Telegram, WhatsApp, Facebook, Twitter, Instagram, Telegram","https://pulse.internetsociety.org/shutdowns/no-social-media-in-iraq-for-exams, https://twitter.com/SMEX/status/1622523800704221187, https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-6-february","Pulse, Access Now"
Iraq,IQ,National,2023-02-07,2023-02-08,exams,"WhatsApp, Facebook, Twitter, Instagram, Telegram","https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-8-february, https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-7-february",Pulse
Iraq,IQ,National,2023-02-09,2023-02-10,exams,"WhatsApp, Facebook, Twitter, Instagram, Telegram","https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-10-february, https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-9-february",Pulse
Iraq,IQ,National,2023-02-11,2023-02-12,exams,"WhatsApp, Facebook, Twitter, Instagram, Telegram","https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-12-february, https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-11-february",Pulse
Iraq,IQ,National,2023-02-13,2023-02-13,exams,"WhatsApp, Facebook, Twitter, Instagram, Telegram",https://pulse.internetsociety.org/shutdowns/social-media-blocked-during-exams-iraq-13-february,Pulse
Iraq,IQ,Nationwide,2023-08-05,2023-08-13,Exam cheating,Telegram,https://explorer.ooni.org/findings/64077907701; https://www.reuters.com/technology/iraq-blocks-telegram-app-cites-personal-data-violations-2023-08-06/,"OONI, Access Now, NetBlocks"
