country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Iran,IR,,2011-09-29,,,PPTP VPNs,https://web.archive.org/web/20111001041241/bestvpnservice.com/blog/reports-iran-blocked-pptp-and-l2tp-vpn-protocols-sstp-vpn-is-instable,CenAlert
Iran,IR,,2013-03-06,,,VPNs,https://iranprimer.usip.org/blog/2013/mar/11/iran-blocks-bypass-internet-filter,CenAlert
Iran,IR,,2013-12-19,,,WeChat,https://globalvoices.org/2013/12/23/chat-is-a-dirty-word-in-iran-wechat-blocked/,CenAlert
Iran,IR,,2014-02-15,,,Psiphon,"https://groups.google.com/g/psiphon3-developers/c/aomTHs9a0eo, https://liberationtech.stanford.narkive.com/DdXOvpcv/many-vpns-and-psiphon-are-currently-blocked-in-iran-right-now",CenAlert
Iran,IR,Nationwide,2017-04-28,,Elections,"Instagram, Telegram",https://rsf.org/en/news/iran-deprives-55-million-voters-freely-reported-news,Access Now
Iran,IR,Nationwide,2017-05-12,,Information control,Grindr,https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Access Now
Iran,IR,Nationwide,2017-12-30,2018-01-13,Protests,"Instagram, Telegram, Telegram, etc",http://www.latimes.com/world/middleeast/la-fg-iran-social-media-ban-20180109-story.html,"Access Now, NetBlocks"
Iran,IR,National,2018-01-01,,,"Blocking of Telegram/Instagram, Blocking of Tor",,OONI
Iran,IR,,2018-04-30,,,Telegram,https://iranhumanrights.org/2018/04/in-a-desperate-move-to-squash-internet-freedom-iran-blocks-telegram/,CenAlert
Iran,IR,,2018-08-06,,Protests,"Anti-regime protests broke out in Iran on July 31, 2018. To prevent citizens from sharing photos of the demonstrations, authorities shut down Internet and cellular services in the cities of Qom and Karaj on August 6, 2018.","https://www.ncr-iran.org/en/news/iran-a-world/monday-s-iran-mini-report-august-6-2018/, https://www.ncr-iran.org/en/ncri-statements/statement-iran-protest/uprising-in-isfahan-shiraz-mashhad-shahin-shahr-and-najaf-abad/, https://english.alarabiya.net/News/middle-east/2018/08/06/Iran-protests-resume-for-6th-day-amid-violent-clashes-with-security-forces",CenAlert
Iran,IR,,2019-04-17,,Government Threat of Censorship,"Instagram blocks Iranian Guard Commanders' pages, prompting Iranian officials threaten to block Instagram (the second most popular social media platform in the country)",https://iranhumanrights.org/2019/04/iranians-push-back-as-officials-threaten-to-block-instagram-in-retaliation-for-banned-irgc-accounts/,Other
Iran,IR,,2019-11-16,,Protests,Iran imposed a near-total Internet shutdown to crack down on widespread protests over an abrupt increase in fuel prices.,https://www.hrw.org/news/2020/11/17/iran-no-justice-bloody-2019-crackdown,Access Now
Iran,IR,National,2020-03-02,2020-03-03,,"Blocking Farsi language version of Wikipedia, Farsi language Wikipedia",,"OONI, NetBlocks"
Iran,IR,"Nationwide, National",2021-01-25,,Unknown,"Blocking Signal, Signal","https://explorer.ooni.org/chart/mat?probe_cc=IR&test_name=signal&since=2022-01-31&until=2023-01-31&axis_x=measurement_start_day; https://www.aljazeera.com/news/2021/1/26/iran-blocks-signal-messaging-app-after-whatsapp-exodus; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-01-01&time_grain=day&axis_x=measurement_start_day&test_name=signal, https://explorer.ooni.org/chart/mat?probe_cc=IR&test_name=signal&since=2022-01-31&until=2023-01-31&axis_x=measurement_start_day; https://www.aljazeera.com/news/2021/1/26/iran-blocks-signal-messaging-app-after-whatsapp-exodus, https://www.aljazeera.com/news/2021/1/26/iran-blocks-signal-messaging-app-after-whatsapp-exodus","OONI, Access Now"
Iran,IR,"Nationwide, National",2022-09-20,,"government_action, Protests","Blocking of Whatsapp, DoH, WhatsApp, Instagram, Google Play Store, Apple App Store, Skype, LinkedIn, WhatsApp, Instagram, Skype, Viber, LinkedIn, Instagram, WhatsApp, LinkedIn, Skype, Blocking of encrypted DNS","https://ooni.org/post/2022-iran-technical-multistakeholder-report/#blocking-of-whatsapp-instagram-skype-viber-and-linkedin, https://ooni.org/post/2022-iran-technical-multistakeholder-report/#blocking-of-whatsapp-instagram-skype-viber-and-linkedin; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-01-01&time_grain=day&axis_x=measurement_start_day&test_name=whatsapp, https://pulse.internetsociety.org/shutdowns/service-blocking-in-iran","OONI, Access Now, NetBlocks, Pulse"
Iran,IR,National,2022-09-22,2022-10-02,,"Disruption/potential blocking of IPv6 traffic, Blocking of Google play store and Apple app store, Blocking of HTTP/3 and QUIC traffic, Blocking of Skype and LinkedIn","Cloudflare, OONI, Cloudflare",OONI
Iran,IR,National,2022-09-26,,,Blocking of browser extension repositories,,OONI
Iran,IR,,2022-11-17,,,Internet cuts,https://www.cbsnews.com/news/iran-protests-escalate-amid-funerals-for-children-reportedly-killed-by-regime/,CenAlert
Iran,IR,,2023-09-15,,Protests,"Around the anniversary of Mahsa Amini's death and the subsequent Woman, Life, Freedom Movement, Iran deployed security forces throughout the country to discourage any unrest. Internet access (e.g., to social media and messaging platforms) continued to be restricted, although specific changes in censorship policies unclear.",https://www.aljazeera.com/news/2023/9/16/iran-one-year-after-the-death-of-mahsa-amini,Other
