country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Jordan,JO,National,2016-07-14,,,Blocking of My.Kali (an LGBTQ online magazine),https://cpj.org/2017/08/jordan-blocks-access-to-lgbtq-online-magazine/,OONI
Jordan,JO,National,2018-11-30,2018-11-30,,Facebook livestreaming interference,,OONI
Jordan,JO,National,2018-12-13,2018-12-13,,Facebook livestreaming interference,,OONI
Jordan,JO,"Jordan, National",2018-12-20,2019-01-10,"Protests, protests","Facebook livestreaming interference, Facebook, Facebook, Facebook Livestream","https://pulse.internetsociety.org/shutdowns/shutdown-2, https://jordanopensource.org/technical-report/?fbclid=IwAR3l1XL4z7gqEOj8hRD9eVgzO-x04OBm1ECb6F7h530-lr9bKBl_eVPjYdU&utm_source=Social+Media+Exchange+%28SMEX%29+Newsletter&utm_campaign=eb2727b27b-EMAIL_CAMPAIGN_2019_07_11_10_20&utm_medium=email&utm_term=0_de3253d538-eb2727b27b-77191031","OONI, Access Now, Pulse"
Jordan,JO,National,2018-12-27,2018-12-27,,Facebook livestreaming interference,,OONI
Jordan,JO,National,2019-01-03,2019-01-03,,Facebook livestreaming interference,,OONI
Jordan,JO,National,2019-01-10,2019-01-10,,Facebook livestreaming interference,,OONI
Jordan,JO,,2019-07-04,,,PUBG,https://www.anhri.info/?p=16069&lang=en,CenAlert
Jordan,JO,National,2020-07-01,2020-07-23,Exam cheating,"Facebook, WhatsApp, Telegram, IMO, Tango, Line, Viber, Telegram, Facebook messenger, Viber, Line, Tango, WhatsApp, and IMO","https://smex.org/noexamshutdown-4-mena-countries-shut-down-the-internet-so-far-to-fight-cheating/; https://royanews.tv/news/218994, https://pulse.internetsociety.org/shutdowns/jordan-3","Pulse, Access Now"
Jordan,JO,National,2020-07-29,2020-08-11,Protests,"Facebook, Facebook Live, Facebook Live Streaming and Speed throttling","https://pulse.internetsociety.org/shutdowns/jordan-2, https://rsf.org/en/news/jordan-bans-coverage-teachers-protests","Pulse, Access Now, NetBlocks"
Jordan,JO,National,2020-08-05,2020-08-05,,Facebook Live,,NetBlocks
Jordan,JO,National,2020-08-09,,,Facebook Live,,NetBlocks
Jordan,JO,National,2020-12-31,2021-01-04,"Exam cheating, exams","WhatsApp, WhatsApp, Telegram","https://explorer.ooni.org/measurement/20201231T100944Z_whatsapp_JO_48832_n1_pIwGrUS0eAiymq2S, https://pulse.internetsociety.org/shutdowns/jordan","Pulse, Access Now"
