country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Kazakhstan,KZ,,2016-05-20,,,"Facebook, VKontakte, WhatsApp, Viber, YouTube, Twitter",https://web.archive.org/web/20200125203757/https://vc.ru/flood/15628-kaz-block,CenAlert
Kazakhstan,KZ,,2016-12-16,,,"Facebook, YouTube, Instagram, and Google",https://globalvoices.org/2016/12/16/social-media-sites-blocked-in-kazakhstan-on-25th-anniversary-of-independence/,CenAlert
Kazakhstan,KZ,,2017-09-02,,,"WhatsApp, Instagram, Facebook, YouTube","https://tengrinews.kz/internet/whatsapp-perestal-rabotat-v-kazahstane-325659/, https://tengrinews.kz/internet/problemyi-instagram-whatsapp-pojalovalis-kazahstantsyi-325686/",CenAlert
Kazakhstan,KZ,,2018-02-09,,,GetContact,https://eurasianet.org/kazakhstan-bans-snooping-app-over-privacy-concerns,CenAlert
Kazakhstan,KZ,National,2019-05-09,2019-05-19,"government_action, Protests","Facebook, Instagram, Telegram, YouTube, Facebook, Instagram and YouTube as well as news and campaign websites, Twitter, Instagram, Telegram, YouTube","https://pulse.internetsociety.org/shutdowns/shutdown-90, https://netblocks.org/reports/social-media-blocked-in-kazakhstan-on-victory-day-eBOg47BZ, https://www.rferl.org/a/rfe-rl-s-kazakh-website-other-sites-not-accessible-in-kazakhstan/29930391.html","Pulse, Access Now, NetBlocks"
Kazakhstan,KZ,National,2019-06-09,2019-06-10,"Elections, protests","Facebook, Twitter, Instagram, Streaming services, Streaming services, Periscope, VPN services","https://pulse.internetsociety.org/shutdowns/shutdown-122, https://netblocks.org/reports/internet-and-streaming-services-blocked-in-kazakhstan-on-election-day-dAmOP7y9, https://www.rferl.org/a/balloting-for-first-new-kazakh-president-in-three-decades-marred-by-hundreds-of-arrests/29990697.html","Pulse, Access Now, NetBlocks"
Kazakhstan,KZ,National,2019-06-11,2019-06-12,"elections, Elections","Facebook, Twitter, Instagram, WhatsApp, Facebook and Instagram","https://pulse.internetsociety.org/shutdowns/shutdown-127, https://twitter.com/netblocks/status/1138506590045331456?ref_src=twsrc%5Etfw","Pulse, Access Now, NetBlocks"
Kazakhstan,KZ,National,2020-07-14,,,Blocking of vpn related domains,,OONI
Kazakhstan,KZ,Cities of Almaty and Nur-Sultan,2021-03-27,2021-03-28,Protests,"Facebook, WhatsApp, Instagram, Telegram","https://www.accessnow.org/internet-shutdowns-kazakhstan-feb-28-protests/; https://www.aljazeera.com/news/2021/2/28/dozens-detained-at-kazakhstan-political-prisoner-protest, https://t.me/s/internetkz; https://t.me/heraks2net/30",Access Now
Kazakhstan,KZ,National,2021-10-04,2021-10-13,,Blocking of HOLA News,https://cpj.org/2021/10/kazakh-outlet-hola-news-reports-website-blocks-after-pandora-papers-coverage/,OONI
Kazakhstan,KZ,Nationwide,2022-01-04,2022-01-11,Protests,"WhatsApp, Telegram, Signal, possibly","https://www.accessnow.org/kazakhstan-internet-shutdowns-protests-almaty-timeline-whats-happening/, https://twitter.com/openobservatory/status/1479064095768911872, https://blog.cloudflare.com/internet-shut-down-in-kazakhstan-amid-unrest/",Access Now
Kazakhstan,KZ,National,2022-09-27,,,Throttling Radio Free Europe/Radio Liberty website,,OONI
Kazakhstan,KZ,Nationwide,2022-10-19,,Elections,"Twitter, Instagram, Telegram, Signal, YouTube",https://t.me/vlastkz/12453; https://exk.kz/news/146487/kazakhstantsy-stali-zhalovatsia-na-sboi-v-rabotie-instagram; https://explorer.ooni.org/chart/mat?probe_cc=KZ&test_name=signal&since=2022-10-01&until=2022-12-31&axis_x=measurement_start_day,Access Now
Kazakhstan,KZ,National,2022-11-20,2022-11-29,,Throttling www.currenttime.tv,,OONI
Kazakhstan,KZ,National,2023-06-30,,,Blocking of amnestry.org.ru,,OONI
Kazakhstan,KZ,National,2023-08-17,,,Blocking of Russian news media Tsargrad,https://rus.azattyq.org/a/32552586.html,OONI
Kazakhstan,KZ,National,2023-11-18,,,Blocking of Russian news media Sputnik24,https://kyivindependent.com/media-kazakhstan-blocks-russian-tv-portal/,OONI
Kazakhstan,KZ,,2024-09-29,,Outage,"Canva experiences a (potentially localized) server-side outage in various countries including Kazakhstan. Users reported that a VPN could be used to circumvent the outage, indicating that the service continued to function normally in other countries",https://en.tengrinews.kz/internet/canva-service-stops-working-in-kazakhstan-264316/,Other
Kazakhstan,KZ,,2024-12-14,,,Slowdown,"https://en.orda.kz/madiyev-asked-about-internet-issues-during-holiday-4266/, https://en.orda.kz/he-must-give-a-concrete-answer-mps-on-ministers-explanation-concerning-internet-issues-4309/",CenAlert
