country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Russia,RU,,2017-05-16,,Viral Discussion of VPNs,"Ukraine blocked several major Russian platforms that were widely used domestically. In response, Russian state media promoted the use of proxy servers as a way for users to maintain access.",https://advox.globalvoices.org/2017/05/17/the-russian-state-media-champion-of-internet-freedom/,Other
Russia,RU,,2017-07-30,,,VPN ban signed and published,https://www.rferl.org/a/russia-putin-signs-vpn-law-internet/28648976.html,CenAlert
Russia,RU,,2017-11-01,,,VPN ban comes into effect,https://www.themoscowtimes.com/2017/11/01/russian-law-banning-anonymous-online-surfing-comes-into-effect-a59434,CenAlert
Russia,RU,Nationwide,2018-04-13,,Information control,Telegram,https://www.nytimes.com/2018/04/13/world/europe/russia-telegram-encryption.html?action=click&contentCollection=Europe&module=RelatedCoverage&region=Marginalia&pgtype=article,Access Now
Russia,RU,,2019-04-16,,Government Threat of Censorship,Russia’s lower house approved an Internet isolation law that would enable the creation of a domestic Internet capable of functioning even when disconnected from the global Internet.,"https://meduza.io/en/news/2019/04/16/state-duma-passes-law-isolating-russian-internet, https://www.dw.com/en/russias-parliament-votes-to-unplug-internet-from-world/a-48334411",Other
Russia,RU,,2019-04-21,,Outage,"Opera VPN experiences issues with one of their certificates, preventing clients from successfully connecting to Opera VPN servers",https://forums.opera.com/topic/31969/solved-unable-to-connect-to-the-vpn-server/44?lang=en-GB&page=3,Other
Russia,RU,National,2020-03-02,,,Blocking of 3 Digitial Ocean DNS servers,https://t.me/usher2/1518,OONI
Russia,RU,,2020-03-16,,COVID-19,"Moscow banned public events on March 16. The pandemic raised global demand for VPNs, both for remote work and for accessing geo-restricted content.",https://meduza.io/en/news/2020/03/16/moscow-extends-coronavirus-measures-to-ban-outdoor-events-close-schools-and-isolate-all-u-s-and-european-arrivals,Other
Russia,RU,,2020-03-21,,COVID-19,"Moscow closed schools starting on March 21. The pandemic raised global demand for VPNs, both for remote work and for accessing geo-restricted content.",https://meduza.io/en/news/2020/03/16/moscow-extends-coronavirus-measures-to-ban-outdoor-events-close-schools-and-isolate-all-u-s-and-european-arrivals,Other
Russia,RU,,2020-03-30,,COVID-19,"Moscow ordered a citywide quarantine, soon followed by other regions. The pandemic raised global demand for VPNs, both for remote work and for accessing geo-restricted content.","https://www.themoscowtimes.com/2020/03/29/moscow-orders-citywide-quarantine-starting-march-30-a69789, https://www.independent.co.uk/news/world/europe/russia-coronavirus-cases-lockdown-update-sanctions-deaths-putin-a9437716.html",Other
Russia,RU,,2021-01-17,,Protests,Opposition politician Alexei Navalny was detained upon his return to Russia.,https://www.theguardian.com/world/2021/jan/17/alexei-navalny-detained-at-airport-on-return-to-russia,Other
Russia,RU,"Nationwide, National",2021-03-10,,Other,"Throttling Twitter, Twitter","https://rkn.gov.ru/news/rsoc/news73464.htm; https://www.accessnow.org/russia-throttled-twitter/; https://censoredplanet.org/throttling, https://roskomsvoboda.org/en/cards/card/twitter-vs-rkn/","OONI, Access Now"
Russia,RU,,2021-06-17,,,Blocking Opera VPN,https://github.com/net4people/bbs/issues/76,CenAlert
Russia,RU,National,2021-07-21,,,Blocking Amnesty International,,OONI
Russia,RU,National,2021-09-17,,,Takedown of Navalny app by Apple and Google Play,,NetBlocks
Russia,RU,Regional,2021-12-01,,,Some ISPs blocking Tor network,,OONI
Russia,RU,National,2021-12-08,,,Tor website added to national blocklist,,OONI
Russia,RU,National,2022-02-07,,,Hromadske,,OONI
Russia,RU,National,2022-02-23,,,Blocking saverudata.info and itarmy.com.ua,,OONI
Russia,RU,"Nationwide, National",2022-02-26,2022-03-04,"government_action, Information control","Throttling Twitter, Throttling of Twitter, Twitter, Facebook, Twitter, Instagram, Twitter, Facebook, Instagram, News Sites, Blocking foreign news websites, Facebook","https://pulse.internetsociety.org/shutdowns/incremental-service-limitation-in-russia, https://ooni.org/post/2022-russia-blocks-amid-ru-ua-conflict/, https://www.businessinsider.com/what-happens-social-media-and-news-go-dark-in-russia-2022-3, https://www.theverge.com/2022/3/14/22976603/russia-bans-instagram-facebook-meta-call-to-violence, https://explorer.ooni.org/chart/mat?probe_cc=RU&test_name=facebook_messenger&since=2022-01-01&until=2022-12-31&axis_x=measurement_start_day","OONI, Access Now, NetBlocks, Pulse"
Russia,RU,National,2022-02-28,,,"Blocking foreign news websites, Blocking of tvrain.ru",,OONI
Russia,RU,National,2022-03-03,,,"Blocking of facebook.com, Blocking HTTP/3, Blocking foreign news websites and Deutshe Welle (dw.com), International news websites, Blocking Twitter and Facebook",,"OONI, NetBlocks"
Russia,RU,National,2022-03-10,,,"Eurasia website of Amnesty International, Blocking Amnesty International",,"OONI, NetBlocks"
Russia,RU,National,2022-03-13,,,"Instagram, Blocking Instagram, Agentura.Ru",,"OONI, NetBlocks"
Russia,RU,National,2022-03-16,,,Bellingcat (independent news),,NetBlocks
Russia,RU,National,2022-03-21,,,Euronews,,NetBlocks
Russia,RU,National,2022-04-17,,,Blocking HRW website,,OONI
Russia,RU,National,2022-04-22,,,Blocking website of S.T.A.L.K.E.R. 2: Heart of Chornobyl,,OONI
Russia,RU,Regional,2022-05-19,2022-06-07,,Blocking access to Cloudflare and DigitalOcean networks on some ports,,OONI
Russia,RU,National,2022-06-01,,,Blocking Proton VPN and NordVPN,,OONI
Russia,RU,National,2022-06-03,,,"Blocking Forklog, popular media about cryptocurrency, Blocking German cloud and mail service Eclipso",,OONI
Russia,RU,National,2022-07-29,,,Blocking Tor website (after brief unblocking),,OONI
Russia,RU,National,2022-08-06,,,Blocking Patreon,,OONI
Russia,RU,National,2022-10-01,,,Blocking SoundCloud,,OONI
Russia,RU,Regional,2022-12-05,,,Partial blocking YouTube,,OONI
Russia,RU,National,2023-01-23,,,"Blocking of certain VPN protocols in eastern regions (Altai, Biysk, Omsk, Novosibirsk and others)",https://t.me/ru_tech_talk/448,OONI
Russia,RU,National,2023-01-27,,,Blocking Amnesty International,,OONI
Russia,RU,National,2023-02-01,,,"Blocking of certain VPN protocols spreads (Perm, Orsk, Novocheboksarsk, Tolyatti, Yakutsk, Kazan, Yelabuga, Ufa, Cheboksary, Nizhny Novgorod)",https://t.me/ru_tech_talk/450,OONI
Russia,RU,National,2023-02-07,,,Blocking Moscow Helsinki Group,,OONI
Russia,RU,National,2023-02-17,,,Blocking The Bell (news media),,OONI
Russia,RU,National,2023-05-31,,,Blocking of certain VPN protocols spreads to Moscow,https://ntc.party/t/%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F-%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0-openvpnwireguard-%D0%BD%D0%B0-%D1%82%D1%81%D0%BF%D1%83-31052023-082023/4576,OONI
Russia,RU,,2023-08-05,,,Blocking VPN protocols,https://ntc.party/t/%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0-vpn-%D0%BF%D1%80%D0%BE%D1%82%D0%BE%D0%BA%D0%BE%D0%BB%D0%BE%D0%B2-%D0%BD%D0%B0-%D1%82%D1%81%D0%BF%D1%83-05082023-xxxx202x/5124,CenAlert
Russia,RU,National,2024-08-02,,,Blocking of EU news media websites,,OONI
Russia,RU,,2024-09-06,,,Planet VPN,"https://otvet.mail.ru/question/239729948, https://otvet.mail.ru/question/239763444, https://otvet.mail.ru/question/239764150, https://otvet.mail.ru/question/239739718, https://otvet.mail.ru/question/239743772, https://otvet.mail.ru/question/239744160, https://otvet.mail.ru/question/239752522, https://otvet.mail.ru/question/239760750, https://vk.com/wall-74974638_509227",CenAlert
Russia,RU,National,2024-09-11,,,Blocking OONI Explorer,,OONI
Russia,RU,National,2024-10-08,,,"Discord, Blocking of Discord",,OONI
