country,country_code,affected_regions,start_date,end_date,cause,affected_services,link,source
Venezuela,VE,National,2014-03-06,,,Blocking of Zello walk-talkie app,https://www.infobae.com/2014/03/06/1548288-zello-la-aplicacion-terrorista-los-estudiantes-venezolanos/,OONI
Venezuela,VE,National,2017-04-07,,,Blocking of news websites,https://vesinfiltro.com/noticias/bloqueos_abril_2017/,OONI
Venezuela,VE,,2017-06-28,,,"Facebook, Twitter, YouTube, Instagram and Periscope","https://vesinfiltro.com/noticias/resumen_preliminar_2017-06-28/, https://advox.globalvoices.org/2017/07/03/with-facebook-twitter-and-youtube-blocked-venezuelans-share-tech-advice/",CenAlert
Venezuela,VE,National,2018-04-11,,,Blocking of independent news media,https://x.com/vesinfiltro/status/984156584845692928,OONI
Venezuela,VE,National,2018-06-06,2018-06-10,,Blocking of independent news media lapatilla.com,,OONI
Venezuela,VE,,2018-06-14,,,Pornography,"https://globalvoices.org/2018/06/26/no-paper-no-electricity-no-news-information-controls-keep-coming-in-venezuela/, https://web.archive.org/web/20180616234814/http://www.2001.com.ve/en-la-agenda/188608/cantv-bloquea-el-acceso-a-algunas-paginas-pornograficas-en-venezuela.html",CenAlert
Venezuela,VE,National,2018-06-20,2018-08-30,,Blocking of Tor,https://metrics.torproject.org/userstats-relay-country.html?start=2018-05-01&end=2018-10-01&country=ve&events=off,OONI
Venezuela,VE,National,2018-08-13,,,Blocking of independent news media armando.info,,OONI
Venezuela,VE,,2018-08-27,,Geo-restrictions,Venezuela’s Superintendency of Banks (Sudeban) announced that foreign IP addresses would be blocked from accessing bank accounts. This measure complicated international remittances and risked preventing domestic users who rely on VPNs to circumvent censorship from accessing their bank accounts even from within the country. Users abroad would also need a VPN to route traffic through a Venezuelan IP address to send money home.,"https://medium.com/@airtm/consejos-para-que-no-bloqueen-tu-cuenta-bancaria-en-venezuela-d6e7cc68a1c1, https://www.lapatilla.com/2018/08/27/sudeban-ordena-restringir-el-acceso-a-las-plataformas-bancarias-desde-direcciones-ip-del-exterior-no-autorizadas/",Other
Venezuela,VE,National,2019-01-12,2019-01-18,,"Blocking Wikipedia, Wikipedia",,"OONI, NetBlocks"
Venezuela,VE,National,2019-01-21,2019-01-21,"no_cause, Protests","Twitter, Instagram, Blocking of Instagram, Twitter, YouTube","https://vesinfiltro.com/noticias/twitter_youtube_instagram_2019-01/, https://pulse.internetsociety.org/shutdowns/shutdown-15, https://ooni.org/post/venezuela-blocking-wikipedia-and-social-media-2019/, https://netblocks.org/reports/venezuela-social-media-restricted-amid-caracas-incident-zgBLoXA4","OONI, Access Now, NetBlocks, Pulse"
Venezuela,VE,National,2019-01-23,,protests,"Facebook, Instagram, YouTube, Google search, Android servers, etc.",,NetBlocks
