"country","country_code","affected_regions","start_date","end_date","cause","affected_services","link","source"
"Mauritius","MU","National","2024-11-01","2024-11-02","elections",,"https://pulse.internetsociety.org/shutdowns/mauritius-orders-blocking-of-social-media-sites-in-advance-of-election","Pulse"
"Bangladesh","BD","National","2024-08-04","2024-08-05","protests","Facebook, Facebook Messenger, Instagram, Signal, Telegram, WhatsApp, X (Formerly Twitter), YouTube","https://pulse.internetsociety.org/shutdowns/service-blocking-bangladesh-4-august","Pulse"
"Bangladesh","BD","National","2024-07-16","2024-08-30","protests","Facebook, Facebook Messenger, Instagram, Signal, Telegram, WhatsApp, X (Formerly Twitter), YouTube","https://pulse.internetsociety.org/shutdowns/service-blocking-bangladesh-16-july","Pulse"
"Pakistan","PK","National","2023-12-17","2023-12-18","government_action","Facebook, Instagram, X, YouTube","https://pulse.internetsociety.org/shutdowns/service-blocking-pakistan-december-2023","Pulse"
"Guinea","GN","National","2023-11-24","2024-02-23","no_cause","Facebook, Instagram, Telegram, TikTok, Signal, WhatsApp, X, YouTube","https://pulse.internetsociety.org/shutdowns/guinea-enforce-service-blocking-for-second-time-in-2023","Pulse"
"India","IN","Darbhanga District","2023-07-27","2023-07-30","government_action","Social media and messaging services","https://pulse.internetsociety.org/shutdowns/internet-shutdown-in-bihar-27-july-2023","Pulse"
"Algeria","DZ","National","2023-06-15","2023-06-15","exams",,"https://pulse.internetsociety.org/shutdowns/no-internet-during-physics-exams-in-algeria","Pulse"
"Algeria","DZ","National","2023-06-14","2023-06-14","exams","News Media","https://pulse.internetsociety.org/shutdowns/algeria-fourth-day-of-exam-shutdowns","Pulse"
"Algeria","DZ","National","2023-06-13","2023-06-13","exams",,"https://pulse.internetsociety.org/shutdowns/algeria-third-day-of-exam-shutdowns","Pulse"
"Algeria","DZ","National","2023-06-12","2023-06-12","exams",,"https://pulse.internetsociety.org/shutdowns/algeria-second-day-of-exam-shutdowns","Pulse"
"Algeria","DZ","National","2023-06-11","2023-06-11","exams",,"https://pulse.internetsociety.org/shutdowns/algeria-begins-shutting-down-the-internet-during-exams","Pulse"
"Senegal","SN","National","2023-06-01","2023-06-07","protests","Instant Messaging, Social Networks","https://pulse.internetsociety.org/shutdowns/senegal-blocks-social-media-and-instant-messaging-amidst-protests","Pulse"
