value,date
49,2010-12-26
37,2011-01-02
44,2011-01-09
38,2011-01-16
41,2011-01-23
46,2011-01-30
42,2011-02-06
46,2011-02-13
41,2011-02-20
45,2011-02-27
43,2011-03-06
43,2011-03-13
45,2011-03-20
44,2011-03-27
39,2011-04-03
46,2011-04-10
39,2011-04-17
44,2011-04-24
72,2011-05-01
56,2011-05-08
60,2011-05-15
52,2011-05-22
54,2011-05-29
57,2011-06-05
51,2011-06-12
56,2011-06-19
60,2011-06-26
57,2011-07-03
61,2011-07-10
48,2011-07-17
46,2011-07-24
53,2011-07-31
50,2011-08-07
51,2011-08-14
49,2011-08-21
52,2011-08-28
51,2011-09-04
53,2011-09-11
53,2011-09-18
59,2011-09-25
61,2011-10-02
56,2011-10-09
63,2011-10-16
64,2011-10-23
61,2011-10-30
52,2011-11-06
55,2011-11-13
65,2011-11-20
52,2011-11-27
56,2011-12-04
57,2011-12-11
64,2011-12-18
55,2011-12-25
55,2012-01-01
53,2012-01-08
55,2012-01-15
58,2012-01-22
63,2012-01-29
52,2012-02-05
63,2012-02-12
60,2012-02-19
60,2012-02-26
53,2012-03-04
49,2012-03-11
48,2012-03-18
63,2012-03-25
66,2012-04-01
56,2012-04-08
58,2012-04-15
55,2012-04-22
47,2012-04-29
58,2012-05-06
48,2012-05-13
54,2012-05-20
61,2012-05-27
49,2012-06-03
55,2012-06-10
57,2012-06-17
52,2012-06-24
56,2012-07-01
60,2012-07-08
55,2012-07-15
52,2012-07-22
58,2012-07-29
53,2012-08-05
54,2012-08-12
58,2012-08-19
62,2012-08-26
57,2012-09-02
54,2012-09-09
69,2012-09-16
67,2012-09-23
66,2012-09-30
65,2012-10-07
61,2012-10-14
64,2012-10-21
63,2012-10-28
66,2012-11-04
68,2012-11-11
59,2012-11-18
67,2012-11-25
63,2012-12-02
63,2012-12-09
72,2012-12-16
77,2012-12-23
75,2012-12-30
74,2013-01-06
65,2013-01-13
68,2013-01-20
72,2013-01-27
77,2013-02-03
75,2013-02-10
82,2013-02-17
73,2013-02-24
83,2013-03-03
86,2013-03-10
100,2013-03-17
95,2013-03-24
80,2013-03-31
83,2013-04-07
84,2013-04-14
83,2013-04-21
84,2013-04-28
85,2013-05-05
85,2013-05-12
71,2013-05-19
95,2013-05-26
