value,date
26,2019-04-01
29,2019-04-02
35,2019-04-03
38,2019-04-04
41,2019-04-05
41,2019-04-06
41,2019-04-07
36,2019-04-08
38,2019-04-09
42,2019-04-10
38,2019-04-11
46,2019-04-12
45,2019-04-13
55,2019-04-14
47,2019-04-15
47,2019-04-16
41,2019-04-17
43,2019-04-18
42,2019-04-19
51,2019-04-20
100,2019-04-21
72,2019-04-22
68,2019-04-23
54,2019-04-24
47,2019-04-25
49,2019-04-26
50,2019-04-27
56,2019-04-28
55,2019-04-29
55,2019-04-30
55,2019-05-01
45,2019-05-02
51,2019-05-03
55,2019-05-04
52,2019-05-05
39,2019-05-06
48,2019-05-07
46,2019-05-08
45,2019-05-09
48,2019-05-10
50,2019-05-11
46,2019-05-12
57,2019-05-13
87,2019-05-14
60,2019-05-15
51,2019-05-16
51,2019-05-17
54,2019-05-18
49,2019-05-19
46,2019-05-20
43,2019-05-21
45,2019-05-22
44,2019-05-23
42,2019-05-24
46,2019-05-25
40,2019-05-26
40,2019-05-27
40,2019-05-28
38,2019-05-29
53,2019-05-30
40,2019-05-31
48,2019-06-01
48,2019-06-02
46,2019-06-03
61,2019-06-04
67,2019-06-05
60,2019-06-06
51,2019-06-07
54,2019-06-08
53,2019-06-09
48,2019-06-10
42,2019-06-11
48,2019-06-12
44,2019-06-13
40,2019-06-14
47,2019-06-15
48,2019-06-16
39,2019-06-17
41,2019-06-18
42,2019-06-19
43,2019-06-20
40,2019-06-21
53,2019-06-22
44,2019-06-23
41,2019-06-24
42,2019-06-25
42,2019-06-26
41,2019-06-27
48,2019-06-28
52,2019-06-29
50,2019-06-30
41,2019-07-01
41,2019-07-02
78,2019-07-03
43,2019-07-04
44,2019-07-05
51,2019-07-06
45,2019-07-07
37,2019-07-08
44,2019-07-09
45,2019-07-10
45,2019-07-11
42,2019-07-12
47,2019-07-13
50,2019-07-14
46,2019-07-15
45,2019-07-16
41,2019-07-17
41,2019-07-18
46,2019-07-19
42,2019-07-20
46,2019-07-21
40,2019-07-22
35,2019-07-23
39,2019-07-24
42,2019-07-25
36,2019-07-26
43,2019-07-27
40,2019-07-28
40,2019-07-29
42,2019-07-30
44,2019-07-31
43,2019-08-01
49,2019-08-02
51,2019-08-03
53,2019-08-04
39,2019-08-05
42,2019-08-06
40,2019-08-07
42,2019-08-08
44,2019-08-09
39,2019-08-10
42,2019-08-11
44,2019-08-12
49,2019-08-13
45,2019-08-14
42,2019-08-15
42,2019-08-16
48,2019-08-17
44,2019-08-18
46,2019-08-19
41,2019-08-20
41,2019-08-21
42,2019-08-22
42,2019-08-23
48,2019-08-24
47,2019-08-25
42,2019-08-26
40,2019-08-27
41,2019-08-28
42,2019-08-29
45,2019-08-30
42,2019-08-31
51,2019-09-01
37,2019-09-02
39,2019-09-03
39,2019-09-04
37,2019-09-05
39,2019-09-06
45,2019-09-07
44,2019-09-08
44,2019-09-09
42,2019-09-10
44,2019-09-11
45,2019-09-12
43,2019-09-13
45,2019-09-14
45,2019-09-15
55,2019-09-16
43,2019-09-17
44,2019-09-18
52,2019-09-19
46,2019-09-20
49,2019-09-21
44,2019-09-22
40,2019-09-23
38,2019-09-24
39,2019-09-25
34,2019-09-26
42,2019-09-27
57,2019-09-28
50,2019-09-29
39,2019-09-30
45,2019-10-01
43,2019-10-02
43,2019-10-03
42,2019-10-04
42,2019-10-05
43,2019-10-06
39,2019-10-07
38,2019-10-08
40,2019-10-09
47,2019-10-10
54,2019-10-11
50,2019-10-12
48,2019-10-13
35,2019-10-14
41,2019-10-15
37,2019-10-16
38,2019-10-17
40,2019-10-18
42,2019-10-19
43,2019-10-20
39,2019-10-21
41,2019-10-22
43,2019-10-23
37,2019-10-24
43,2019-10-25
46,2019-10-26
52,2019-10-27
41,2019-10-28
43,2019-10-29
36,2019-10-30
41,2019-10-31
39,2019-11-01
47,2019-11-02
47,2019-11-03
42,2019-11-04
41,2019-11-05
43,2019-11-06
39,2019-11-07
37,2019-11-08
45,2019-11-09
40,2019-11-10
37,2019-11-11
40,2019-11-12
41,2019-11-13
36,2019-11-14
40,2019-11-15
48,2019-11-16
56,2019-11-17
42,2019-11-18
58,2019-11-19
44,2019-11-20
39,2019-11-21
47,2019-11-22
49,2019-11-23
42,2019-11-24
39,2019-11-25
37,2019-11-26
39,2019-11-27
38,2019-11-28
42,2019-11-29
48,2019-11-30
